"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"16 MAR2000",4.139,4.908,5.177,5.544,7.500,5.695,5.885,0.763,0.215,-0.028,1.031,5.329,88.820,0.213,0.301,0.252,0.416,9.531,5.322,27.076,13.939,5.221,-3.966,14.419,"_",-12.349,5.521,8.994,12.793,-5.382,-7.537,15.926,1.684,12319.500,36.840,0.966300,-3.812,101.730000,-0.973,0.400,13.900,12.800,73.788
"17 MAR2000",4.139,4.824,5.126,5.479,7.502,5.628,5.845,0.652,0.222,-0.046,1.087,5.256,88.920,0.230,0.281,0.266,0.411,10.529,6.257,26.897,11.850,6.678,-0.443,14.436,"_",-11.109,6.665,10.819,14.784,-5.371,-7.844,17.910,3.338,12384.200,"_",0.967200,-3.723,102.310000,-0.409,0.400,13.150,12.350,73.808
"20 MAR2000",4.128,4.805,5.166,5.463,7.471,5.609,5.836,0.749,0.211,0.012,1.061,5.252,88.970,0.245,0.282,0.285,0.447,10.533,6.193,26.896,12.962,6.367,-1.368,15.370,"_",-10.749,7.794,13.139,13.438,-4.411,-7.105,13.287,"_",12401.500,29.730,0.971500,-3.295,103.710000,0.954,0.500,13.250,12.350,73.953
"21 MAR2000",4.100,4.792,5.097,5.439,7.489,"_",5.762,0.861,0.202,0.038,1.036,5.237,89.080,0.200,0.290,0.268,0.441,10.164,5.729,26.824,13.623,6.309,-3.284,15.099,"_",-11.715,7.376,12.213,12.063,-4.506,-5.130,15.786,3.528,12377.500,30.370,0.970100,-3.434,103.460000,0.711,0.400,12.650,12.000,73.897
"22 MAR2000",4.160,4.800,5.101,5.460,7.526,5.615,5.788,1.246,0.216,0.066,0.969,5.244,88.890,0.190,0.230,0.270,0.420,9.147,4.560,26.989,13.620,5.897,-5.943,15.586,"_",-12.159,7.420,12.079,9.897,-4.626,-5.483,19.547,4.221,12179.500,31.130,0.960300,-4.410,102.880000,0.146,0.400,12.700,12.100,73.734
"23 MAR2000",4.113,4.786,5.084,5.446,7.554,5.593,5.769,1.264,0.247,0.076,0.971,5.199,89.210,0.324,0.277,0.244,0.384,8.435,3.710,27.012,12.510,4.919,-6.182,15.993,"_",-10.683,7.232,10.587,9.783,-4.843,-3.281,21.411,4.068,12034.000,30.820,0.965600,-3.882,103.880000,1.119,"_",12.150,11.950,73.778
"24 MAR2000",4.106,4.827,5.093,5.444,7.582,5.586,5.759,1.401,0.211,0.083,0.971,5.233,88.880,0.199,0.294,0.243,0.426,9.787,4.917,27.119,12.084,5.824,-3.035,17.307,"_",-10.768,9.691,14.002,12.928,-2.766,-3.343,21.962,5.407,12257.000,27.710,0.971500,-3.295,104.090000,1.324,0.200,12.250,12.000,73.832
"27 MAR2000","_",4.849,5.144,5.516,7.528,5.671,5.823,1.396,0.204,0.080,1.008,5.313,88.370,0.200,"_",0.281,0.434,9.543,4.472,27.034,11.875,5.629,-3.660,18.280,"_",-11.156,9.474,13.428,12.747,-3.506,-4.099,21.853,7.112,12180.500,27.630,0.971200,-3.325,103.770000,1.012,"_",12.175,12.000,73.772
"28 MAR2000",4.130,4.849,5.149,5.509,7.572,"_","_",1.491,0.216,0.146,1.006,5.293,88.760,0.210,0.300,0.271,0.431,10.072,4.894,27.022,11.704,6.402,-3.007,18.061,"_",-10.702,10.646,13.995,12.000,-4.042,-4.880,18.789,7.605,12218.500,26.480,0.964700,-3.972,102.590000,-0.136,0.500,12.225,12.175,73.670
"29 MAR2000",4.201,4.829,5.149,5.508,7.512,5.652,5.843,1.459,0.211,0.113,0.968,5.297,88.540,0.205,0.229,0.271,0.432,9.020,3.841,27.135,9.529,6.085,-2.897,20.019,"_",-9.046,10.437,13.030,11.777,-4.782,-4.161,14.139,9.360,12126.000,26.150,0.956800,-4.758,100.770000,-1.908,"_",12.775,12.500,73.480
"30 MAR2000",4.193,4.821,5.137,5.504,7.551,5.659,5.893,1.192,0.242,0.065,0.963,5.262,88.850,0.225,0.247,0.289,0.426,6.857,1.649,27.651,7.153,4.758,-5.440,18.291,"_",-10.361,7.086,9.870,8.604,-6.998,"_",9.549,7.960,11861.500,28.250,0.955500,-4.888,100.350000,-2.317,0.100,12.300,12.400,73.430
"31 MAR2000",4.171,4.789,5.094,5.446,7.564,5.600,5.794,1.006,0.209,0.097,0.921,5.237,89.160,0.235,0.259,0.281,0.434,7.478,2.522,26.283,8.443,5.067,-4.950,17.109,"_",-9.330,7.036,9.216,8.611,-5.628,-5.003,12.374,7.410,11943.000,27.560,0.955300,-4.907,98.530000,-4.088,"_",12.450,12.475,73.348
"03 ABR2000",4.180,4.795,5.096,5.441,7.553,5.582,5.810,1.217,0.239,0.095,0.904,5.202,89.300,0.225,0.250,0.275,0.429,5.628,0.387,25.286,6.068,4.774,-7.688,17.931,"_",-10.958,4.362,6.770,5.366,-6.754,-2.394,3.794,9.468,11704.000,29.020,0.956400,-4.798,100.270000,-2.395,0.300,12.525,12.400,73.429
"04 ABR2000",4.160,4.764,5.058,5.416,7.348,5.577,5.758,1.236,0.213,0.093,0.887,5.202,89.350,0.237,0.270,0.286,0.434,4.932,-0.491,25.174,4.379,6.844,-9.899,17.434,"_",-5.914,5.551,8.115,6.906,-7.261,-2.890,1.956,8.770,11563.500,29.470,0.953800,-5.057,100.740000,-1.937,0.300,12.950,12.600,73.385
"05 ABR2000",4.156,4.714,5.023,5.363,7.418,5.553,5.734,1.464,0.230,0.108,0.815,5.134,89.750,"_","_","_","_",2.921,-2.292,25.593,2.460,5.382,-11.977,14.647,"_",-6.558,2.849,5.355,3.936,-7.949,-4.029,2.455,8.072,11362.000,33.460,0.967300,-3.713,101.710000,-0.993,0.550,13.650,13.050,73.663
"06 ABR2000",4.124,4.732,5.029,5.418,7.095,5.543,5.770,1.536,0.221,0.069,0.807,5.197,89.260,0.201,0.276,0.278,0.432,4.893,-0.288,25.740,5.264,4.508,-8.683,16.382,"_",-6.264,5.617,7.014,7.197,-6.913,-3.330,4.872,6.809,11686.000,29.550,0.962500,-4.191,101.040000,-1.645,0.500,12.500,12.500,73.581
"07 ABR2000",4.152,4.743,5.075,5.439,7.089,5.596,5.767,1.741,0.215,0.073,0.839,5.225,89.410,0.191,0.278,0.287,0.431,6.381,1.282,25.663,7.148,5.728,-7.318,17.307,"_",-6.047,7.240,8.106,7.660,-5.199,-3.354,9.268,6.963,11837.500,27.600,0.956400,-4.798,100.710000,-1.966,"_",12.200,12.375,73.491
"10 ABR2000",4.194,4.736,5.050,5.387,7.046,5.531,5.733,2.040,0.234,0.083,0.766,5.153,89.540,"_",0.236,0.274,0.413,6.200,1.094,25.636,7.104,6.474,-8.055,17.295,"_",-6.198,7.703,8.031,7.395,-5.726,-2.701,2.922,8.898,11830.500,28.360,0.959000,-4.539,101.920000,-0.788,0.300,12.150,12.100,73.573
"11 ABR2000",4.150,4.725,5.002,5.354,7.049,5.503,5.693,1.838,0.212,0.104,0.709,5.142,89.600,0.240,0.280,0.285,0.436,4.138,-1.083,25.719,3.878,5.475,-7.484,16.757,"_",-5.772,5.504,6.963,4.785,-7.951,-1.827,-0.330,8.388,11550.500,30.540,0.959400,-4.499,102.610000,-0.117,0.400,12.275,12.250,73.588
"12 ABR2000",4.150,4.780,5.080,5.418,7.054,5.591,5.772,1.658,0.211,0.107,0.794,5.207,89.450,0.211,0.310,0.290,0.452,4.396,-0.853,25.701,4.725,5.306,-7.280,17.208,"_",-6.378,5.603,6.969,5.659,-8.361,-3.236,-7.364,10.029,11595.000,30.050,0.957600,-4.678,101.110000,-1.577,0.350,12.475,12.450,73.512
"13 ABR2000",4.208,4.799,5.077,5.429,6.844,5.613,5.737,1.970,0.206,0.077,0.840,5.223,89.300,0.241,0.252,0.271,0.431,5.267,0.050,25.274,4.335,7.136,-6.096,17.235,"_",-8.015,5.645,7.055,5.915,-8.271,-4.989,-9.646,8.408,11709.000,29.760,0.953700,-5.067,101.090000,-1.596,0.300,12.200,12.300,73.429
"14 ABR2000",4.201,4.788,5.086,5.423,6.799,5.585,5.733,2.118,0.222,0.085,0.827,5.202,88.930,0.240,0.259,0.292,0.427,2.935,-2.384,26.020,2.380,4.977,-7.050,16.674,"_",-11.582,2.646,3.689,3.115,-10.853,-10.362,-18.382,7.924,11294.000,32.070,0.954000,-5.037,100.860000,-1.820,"_",12.750,12.700,73.453
"17 ABR2000",4.214,4.761,5.069,5.436,6.804,5.622,5.798,1.857,0.200,0.101,0.775,5.236,89.040,0.222,0.236,0.289,0.434,1.514,-3.643,26.037,1.368,2.746,-8.348,14.830,"_",-14.828,1.533,3.291,1.172,-13.500,-7.955,-13.028,0.392,11199.000,41.130,0.957300,-4.708,99.400000,-3.242,"_",13.000,12.650,73.454
"18 ABR2000",4.190,4.812,5.116,5.476,6.821,5.632,5.791,1.841,0.228,0.093,0.857,5.248,88.950,0.216,0.280,0.258,0.424,1.944,-3.263,25.972,1.903,2.175,-8.513,15.281,"_",-16.143,3.210,3.425,2.177,-12.355,-6.347,-6.776,0.186,11305.000,37.890,0.949700,-5.465,98.970000,-3.660,0.100,12.650,12.550,73.350
"19 ABR2000",4.190,4.825,5.145,5.496,6.837,5.665,5.793,1.858,0.209,0.082,0.874,5.287,88.800,"_","_","_","_",2.643,-2.591,26.006,2.829,2.015,-8.241,16.435,"_",-12.850,3.552,3.716,2.089,-10.754,"_",-8.918,"_",11367.000,38.070,0.946100,-5.823,98.790000,-3.835,0.100,13.000,12.800,73.283
"20 ABR2000","_","_","_",5.506,6.748,"_","_",1.856,0.228,0.078,0.222,5.278,"_",0.230,"_","_",0.414,3.959,-1.197,26.084,3.770,3.868,-6.523,16.658,"_",-10.749,4.350,2.872,4.329,-9.942,-5.680,-10.455,"_",11517.400,"_",0.937600,-6.669,98.370000,-4.244,0.100,12.880,12.975,73.136
"21 ABR2000","_","_","_","_",6.778,"_","_",1.856,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.600,"_","_","_","_","_","_","_",12.750,12.750,"_"
"24 ABR2000","_","_","_","_",6.451,"_","_",1.856,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-5.141,-14.421,-2.399,"_","_","_","_","_","_","_",13.000,12.800,"_"
"25 ABR2000",4.380,4.900,5.192,5.539,6.467,5.680,5.867,1.789,0.199,0.057,0.790,5.340,88.450,0.195,0.220,0.280,0.431,3.408,-1.855,25.886,3.415,3.364,-6.843,16.934,"_",-15.074,5.172,4.633,5.576,-9.339,-3.238,-8.800,-3.496,11408.500,26.010,0.930200,-7.406,98.150000,-4.458,0.150,13.800,13.400,73.020
"26 ABR2000",4.391,4.942,5.227,5.553,6.518,5.708,5.860,1.621,0.219,0.065,0.880,5.335,88.870,0.246,0.239,0.238,0.417,3.914,-1.374,25.659,4.427,3.649,-7.198,17.467,"_",-10.664,6.946,6.186,5.499,-9.721,-4.798,-10.793,-4.225,11449.500,25.470,0.919300,-8.491,97.850000,-4.750,0.200,13.600,13.300,72.829
"27 ABR2000",4.380,4.903,5.175,5.512,6.324,"_",5.831,1.618,0.210,0.060,0.921,5.302,88.730,0.208,0.230,0.257,0.428,2.210,-3.165,25.684,1.782,2.084,-7.452,17.814,"_",-9.472,5.454,3.788,4.710,-10.835,-5.297,-7.256,-4.833,11292.000,26.310,0.916300,-8.790,97.570000,-5.023,0.200,14.450,13.650,72.804
"28 ABR2000",4.351,4.939,5.207,5.532,6.319,5.690,5.824,1.469,0.198,0.031,1.040,5.335,88.750,0.292,0.329,0.281,0.438,3.806,-1.490,25.845,"_","_","_",18.330,"_",-7.040,"_","_","_","_","_",-5.127,"_",11547.500,22.990,0.908500,-9.566,97.480000,-5.110,"_",13.800,13.450,72.688
"01 MAY2000","_","_","_","_",6.303,"_","_",1.689,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.733,-2.806,"_","_","_","_","_","_","_",13.850,13.550,"_"
"02 MAY2000","_",5.023,5.252,5.528,6.175,"_",5.863,1.689,"_","_","_","_","_","_","_","_","_",7.114,1.940,25.987,8.802,5.286,-6.392,18.793,"_",-6.794,10.814,8.591,10.249,-8.034,-6.663,-6.976,-2.614,11932.500,24.510,0.911600,-9.257,99.150000,-3.485,0.400,13.500,13.250,72.796
"03 MAY2000",4.470,5.055,5.312,5.596,6.581,5.725,5.846,1.477,0.208,-0.096,1.043,5.388,87.750,0.214,0.330,0.285,0.434,5.466,0.228,25.951,8.783,2.831,-7.217,18.383,"_",-6.406,8.410,6.019,7.874,-10.756,-8.846,-8.896,"_",11664.500,26.050,0.891300,-11.278,97.460000,-5.130,"_",14.500,13.800,72.394
"04 MAY2000",4.566,5.150,5.409,5.693,6.584,5.771,5.914,1.449,0.225,-0.069,1.067,5.467,87.490,"_","_","_","_",4.910,-0.377,24.965,7.255,2.977,-7.083,18.601,"_",-7.381,8.194,6.159,9.767,-10.542,-9.434,-8.578,"_",11616.500,26.260,0.894700,-10.940,97.350000,-5.237,0.700,14.950,14.075,72.572
"05 MAY2000",4.610,5.167,5.430,5.709,6.534,5.855,5.958,1.384,0.276,-0.001,1.088,5.433,87.380,0.241,0.290,0.233,0.411,4.620,-0.691,24.971,7.040,2.008,-6.198,18.582,"_",-8.393,9.119,8.230,9.609,-9.977,-7.996,-6.205,"_",11596.000,25.230,0.898400,-10.571,97.210000,-5.373,0.600,15.550,14.350,72.628
"08 MAY2000",4.507,5.163,5.415,5.687,6.390,5.830,5.919,1.178,0.251,0.026,1.161,5.436,87.750,0.190,0.393,0.267,0.443,2.549,-2.898,25.157,2.884,1.703,-6.477,18.369,"_",-10.352,7.761,6.467,8.623,-10.301,-7.771,-9.828,-3.879,11272.000,26.080,0.895200,-10.890,97.170000,-5.412,"_",14.900,13.800,72.619
"09 MAY2000",4.569,5.157,5.397,5.667,6.425,5.806,5.916,0.630,0.285,0.006,1.272,5.382,87.990,0.214,0.321,0.253,0.413,0.606,-4.894,24.704,1.188,-0.138,-7.993,17.429,"_",-11.875,5.674,4.633,6.597,-11.636,-8.353,-11.901,-5.756,11097.500,26.960,0.897800,-10.631,98.250000,-4.361,0.400,14.550,13.700,72.683
"10 MAY2000",4.562,5.122,5.361,5.620,6.418,5.753,5.823,0.667,0.276,0.037,1.280,5.344,88.170,0.221,0.308,0.258,0.420,-1.412,-6.950,25.113,-1.705,-1.777,-8.755,16.122,"_",-7.854,3.291,2.339,6.278,-11.971,-9.823,-16.823,-6.511,10841.500,27.780,0.910700,-9.347,99.130000,-3.504,0.500,15.000,13.950,72.993
"11 MAY2000",4.596,5.096,5.368,5.627,6.662,5.797,5.868,0.750,0.271,0.063,1.165,5.356,87.550,0.212,0.274,0.284,0.413,0.241,-5.198,25.493,-0.236,-0.334,-7.942,16.268,"_",-13.484,5.450,4.331,7.460,-9.874,-8.273,-14.001,-10.837,11036.500,26.730,0.907900,-9.626,98.530000,-4.088,0.500,14.350,13.750,73.048
"12 MAY2000",4.707,5.191,5.458,5.676,6.650,5.803,5.856,0.849,0.287,0.054,1.137,5.389,87.750,"_","_","_","_",0.799,-4.628,24.111,"_","_","_",16.538,"_",-14.109,"_","_","_","_","_",-13.276,"_",11109.500,24.790,0.902900,-10.123,98.010000,-4.595,0.500,14.100,13.700,72.871
"15 MAY2000",4.570,5.267,5.448,5.679,6.653,"_",5.820,0.849,"_","_","_","_","_","_",0.340,0.203,0.421,0.072,-5.430,24.116,0.163,-1.152,-8.172,16.754,"_",-14.298,5.673,3.406,8.351,-9.848,-5.996,-11.345,-8.559,10968.500,27.600,0.914700,-8.949,100.070000,-2.589,0.650,14.200,13.700,73.150
"16 MAY2000",4.688,5.179,5.419,5.655,6.658,5.790,5.833,1.103,0.277,0.031,1.160,5.378,88.100,0.228,0.242,0.291,0.465,1.881,-3.614,23.984,3.692,-0.322,-6.716,17.910,"_",-14.194,8.779,5.934,10.372,-8.828,"_",-8.644,-7.305,11250.000,27.530,0.906500,-9.765,98.890000,-3.738,0.650,14.175,13.700,73.037
"17 MAY2000",4.773,5.246,5.489,5.675,6.737,5.756,5.821,0.792,0.263,0.040,1.151,5.413,87.600,0.310,0.307,0.314,0.445,-0.716,-6.323,24.836,-0.121,-1.645,-8.064,16.656,"_",-15.405,6.653,3.641,7.574,-10.591,-6.327,-10.428,-8.082,10920.500,27.670,0.892200,-11.189,97.980000,-4.624,"_",14.350,13.750,72.809
"18 MAY2000",4.828,5.297,5.525,5.706,6.444,5.815,5.881,0.800,0.276,0.075,1.163,5.430,87.580,0.229,0.292,0.283,0.414,-0.832,-6.458,24.742,-0.008,-0.954,-7.506,17.347,"_",-15.462,6.987,3.211,8.402,-10.062,"_",-13.039,-10.049,10922.500,27.610,0.894200,-10.989,97.600000,-4.994,0.200,13.475,13.350,72.891
"19 MAY2000",4.838,5.329,5.533,5.752,6.425,5.829,5.882,0.982,0.306,0.153,1.231,5.446,87.460,0.260,0.282,0.301,0.438,-3.750,-9.419,25.786,-4.129,-2.828,-9.078,15.815,"_",-18.849,3.242,0.444,3.924,-12.767,-7.569,-16.684,-10.965,10521.200,"_",0.887500,-11.656,95.690000,-6.853,0.200,13.800,13.450,72.700
"22 MAY2000","_",5.303,5.499,5.696,6.408,5.790,5.849,0.837,0.315,0.173,1.209,5.381,87.880,"_","_",0.277,0.424,-5.603,-11.297,25.890,-6.837,-4.807,-9.855,14.563,"_",-19.181,0.830,-0.649,1.370,-12.910,-8.303,-17.327,-13.459,10303.000,29.230,0.900000,-10.412,96.570000,-5.996,0.150,14.200,13.700,72.931
"23 MAY2000","_",5.272,5.473,5.634,6.332,5.753,5.813,0.668,0.293,0.178,1.216,5.341,88.080,0.330,"_",0.248,0.416,-5.137,-10.835,25.755,-6.680,-3.563,-10.024,15.120,"_",-19.076,1.636,-0.438,4.040,-12.170,-9.349,-22.234,-13.814,10421.000,28.790,0.911100,-9.307,97.300000,-5.286,"_",14.400,14.000,73.180
"24 MAY2000",4.886,5.228,5.412,5.587,6.360,5.704,5.790,0.565,0.267,0.199,1.239,5.320,88.350,0.370,0.184,0.242,0.423,-5.400,-11.158,25.232,-7.018,-3.640,-10.231,14.921,"_",-24.423,-0.011,-1.771,2.726,-11.711,-8.365,-19.627,-15.263,10383.500,28.780,0.909800,-9.437,97.580000,-5.013,0.600,14.450,14.075,73.207
"25 MAY2000",4.827,5.199,5.406,5.590,6.433,5.704,5.793,0.791,0.262,0.107,1.265,5.328,88.710,0.250,0.253,0.271,0.420,-3.585,-9.284,25.807,-4.983,-0.484,-9.610,15.414,"_",-15.992,2.331,0.298,5.206,-10.088,-10.204,-21.231,-14.189,10568.000,27.560,0.898100,-10.601,96.810000,-5.763,0.550,13.950,13.700,73.000
"26 MAY2000",4.773,5.123,5.330,5.518,6.530,5.696,5.736,1.024,0.271,0.096,1.247,5.247,89.230,0.249,0.257,0.297,0.422,-4.622,-10.345,24.916,-7.119,-0.467,-9.320,14.510,"_",-19.938,2.111,-0.285,5.427,-10.293,-10.419,-21.237,-15.454,10443.000,28.050,0.914300,-8.989,98.220000,-4.390,0.550,15.050,14.500,73.319
"29 MAY2000","_",5.110,5.294,5.506,6.490,"_",5.728,1.313,0.277,0.072,"_",5.229,88.830,0.260,"_",0.270,0.424,-3.618,-9.299,24.941,-4.526,-1.230,-8.948,14.960,"_",-18.859,3.675,0.841,6.497,"_","_","_",-14.201,10520.000,27.040,0.926200,-7.804,99.320000,-3.319,"_",15.150,14.550,73.479
"30 MAY2000","_",5.099,5.273,5.479,6.359,5.615,5.722,1.325,0.262,0.098,1.234,5.217,88.910,0.265,"_",0.311,0.431,-2.894,-8.529,24.914,-3.027,-0.251,-9.468,15.053,"_",-15.140,5.130,2.316,7.776,-8.234,-8.437,-14.986,-14.289,10688.000,26.040,0.935900,-6.839,99.800000,-2.852,0.800,14.800,14.200,73.582
"31 MAY2000",4.819,5.164,5.338,5.505,6.395,5.631,5.711,1.716,0.272,0.102,1.232,5.233,89.240,0.068,0.031,-0.474,0.295,-2.475,-8.185,24.954,-3.653,0.635,-8.665,15.814,"_",-19.162,6.044,2.178,6.843,-8.238,-8.479,-16.425,-13.742,10708.500,26.280,0.930300,-7.396,99.900000,-2.755,"_",14.400,13.900,73.536
"01 JUN2000",4.810,5.162,5.290,5.450,6.510,5.636,5.659,1.787,0.338,0.088,1.191,5.112,89.800,0.252,0.320,0.308,0.430,-0.807,-6.579,25.111,-2.338,3.219,-7.857,16.809,"_",-13.900,7.559,4.522,8.958,-6.633,-7.349,-11.963,-11.831,10931.500,25.770,0.933000,-7.127,101.410000,-1.285,"_",13.825,14.000,73.620
"02 JUN2000",4.800,5.063,5.276,5.377,6.531,5.519,5.635,1.867,0.236,0.035,1.168,5.141,89.980,"_",0.300,0.397,0.503,1.420,-4.294,25.874,0.825,4.859,-7.367,17.220,"_",-14.109,10.680,6.910,9.856,-4.384,-6.109,-6.289,-11.272,11180.000,25.020,0.935500,-6.878,101.620000,-1.081,"_",14.550,14.300,73.655
"05 JUN2000",4.750,5.050,5.182,5.372,6.147,5.512,5.641,1.782,0.271,0.034,1.118,5.101,89.960,"_",0.260,0.300,0.458,0.440,-5.474,25.876,-1.224,4.496,-7.626,18.407,"_",-15.405,9.688,6.466,9.079,-5.534,-5.930,-6.083,-9.150,11016.500,26.540,0.943300,-6.102,101.510000,-1.188,"_",13.850,13.700,73.671
"06 JUN2000","_",5.042,5.170,5.370,6.192,5.521,5.652,2.047,0.264,0.036,1.130,5.106,89.610,0.246,"_",0.348,0.470,-1.451,-7.378,26.149,-3.248,3.249,-9.513,17.450,"_",-15.074,8.592,5.773,7.871,-5.532,-6.624,-7.690,-9.318,10754.500,27.740,0.948500,-5.584,101.240000,-1.450,"_",14.450,14.100,73.748
"07 JUN2000",4.680,5.016,5.160,5.411,6.173,5.582,5.697,2.320,0.260,0.064,1.099,5.150,89.700,"_",0.300,0.324,0.479,-2.253,-8.182,26.191,-4.889,3.343,-9.713,16.787,"_",-14.033,7.502,4.812,9.395,-6.153,-5.952,-5.653,-9.450,10685.000,27.500,0.955400,-4.897,101.000000,-1.684,"_",14.400,14.150,73.797
"08 JUN2000",4.774,5.041,5.187,5.419,6.276,5.575,5.695,2.459,0.325,0.063,1.140,5.094,89.090,"_",0.206,0.319,0.461,-1.382,-7.231,26.320,-3.135,3.915,-9.744,17.354,"_",-14.071,7.795,4.096,8.813,-6.257,-7.205,-5.990,-10.193,10794.000,27.320,0.966800,-3.763,102.120000,-0.594,-0.600,14.100,14.050,74.023
"09 JUN2000",4.900,5.175,5.301,5.460,6.297,5.587,5.669,2.471,0.300,0.056,1.049,5.161,89.410,0.230,0.270,0.365,0.460,-0.778,-6.599,26.398,-1.437,3.172,-10.114,17.066,"_",-11.790,7.922,4.260,"_",-7.019,"_",-4.779,-10.945,10882.500,25.270,0.949000,-5.535,101.420000,-1.275,-0.450,13.500,13.550,73.805
"12 JUN2000",4.910,5.191,5.269,5.451,6.121,5.587,5.688,2.270,"_","_","_","_",89.360,0.250,0.240,0.329,0.469,-1.436,-7.302,26.373,-1.899,2.250,-10.322,16.502,"_",-18.083,"_",3.988,"_",-7.205,"_",-7.407,"_",10789.500,25.800,0.952700,-5.166,101.550000,-1.149,"_",13.925,13.700,73.819
"13 JUN2000",4.874,5.128,5.252,5.441,6.181,5.579,5.684,2.337,0.261,0.020,1.003,5.180,89.720,0.256,0.266,0.382,0.479,-1.277,-7.176,26.038,-2.535,2.882,-9.336,17.235,"_",-17.771,8.174,4.466,9.662,-6.971,-7.613,-5.363,-10.665,10851.000,25.870,0.958300,-4.609,102.050000,-0.662,"_",13.800,13.850,73.900
"14 JUN2000",4.830,5.101,5.229,5.437,6.240,5.582,5.726,2.143,0.284,0.043,1.046,5.153,89.270,0.239,0.270,0.329,0.483,-0.681,-6.534,25.642,-1.786,3.794,-9.305,17.460,"_",-17.846,9.687,5.645,10.751,-5.684,-7.038,-6.682,-12.041,10903.500,25.860,0.963600,-4.081,102.520000,-0.204,"_",13.100,13.025,74.026
"15 JUN2000",4.799,5.077,5.222,5.451,6.226,5.603,5.724,2.161,0.303,0.083,0.990,5.148,89.310,0.250,0.261,0.303,0.469,-0.776,-6.575,25.643,-2.293,4.699,-9.801,16.557,"_",-17.402,8.850,5.324,10.749,-6.340,-6.804,-5.494,-13.709,10879.500,25.910,0.952400,-5.196,100.920000,-1.762,"_",12.275,12.625,73.790
"16 JUN2000",4.731,5.058,5.227,5.422,6.384,5.613,5.725,2.205,0.309,0.074,1.022,5.113,89.920,"_",0.309,0.312,0.458,-2.006,-7.882,25.694,-4.715,4.651,-10.790,16.302,"_",-15.225,7.689,2.490,8.655,-5.832,-9.114,-5.130,-13.816,10778.000,"_",0.956500,-4.788,101.650000,-1.051,"_",12.250,12.600,73.861
"19 JUN2000",4.730,5.026,5.164,5.385,6.308,5.557,5.723,2.242,0.280,0.027,0.975,5.105,89.790,0.226,0.300,0.324,0.465,-3.087,-8.983,25.721,-5.889,3.099,-11.004,15.291,"_",-17.051,7.490,3.459,8.546,-6.349,-8.170,-1.953,-12.374,10571.500,22.810,0.964000,-4.041,101.860000,-0.847,0.600,12.250,12.600,73.985
"20 JUN2000",4.730,5.059,5.197,5.392,6.229,5.556,5.673,2.293,0.274,0.078,0.989,5.118,89.740,0.216,0.320,0.321,0.448,-3.304,-9.260,25.715,-6.061,2.467,-10.913,15.641,"_",-17.449,8.312,3.868,8.944,-5.819,-9.237,-1.375,-10.704,10547.500,22.300,0.953800,-5.057,100.620000,-2.054,"_",13.200,13.300,73.793
"21 JUN2000",4.838,5.126,5.269,5.447,6.380,5.594,5.708,2.509,0.269,0.106,0.964,5.178,89.180,0.224,0.282,0.364,0.483,-5.078,-11.081,26.001,-8.500,1.510,-12.145,15.070,"_",-17.298,7.113,2.040,8.004,-6.528,-8.692,-0.130,-9.107,10367.500,23.260,0.947000,-5.734,99.760000,-2.891,0.300,12.250,12.550,73.689
"22 JUN2000",4.850,5.168,5.314,5.517,6.344,5.625,5.740,2.615,0.277,0.064,0.976,5.240,88.890,0.260,0.280,0.402,0.503,-4.017,-9.886,26.219,-7.043,2.256,-11.898,14.916,"_",-17.657,6.677,1.373,6.885,-7.451,-9.750,-3.255,-9.656,10495.000,23.190,0.940500,-6.381,99.100000,-3.534,0.250,12.375,12.675,73.538
"23 JUN2000",4.891,5.199,5.343,5.526,6.315,5.652,5.762,2.720,0.289,0.074,0.965,5.238,88.710,0.240,0.239,0.361,0.504,-3.582,-9.520,26.103,-6.877,2.151,-11.131,16.052,"_",-17.695,6.853,0.320,8.071,-7.773,-9.501,-5.504,-10.410,10545.000,23.050,0.941300,-6.301,98.120000,-4.487,0.300,12.300,12.700,73.529
"26 JUN2000",4.869,5.262,5.372,5.563,6.245,5.706,5.795,2.309,0.289,0.067,1.012,5.274,88.850,0.206,0.301,0.348,0.517,-3.878,-9.900,26.108,-8.020,3.334,-11.502,16.668,"_",-17.544,6.748,0.992,8.199,-7.576,-8.299,-3.863,-10.610,10494.500,23.250,0.932700,-7.157,98.380000,-4.234,0.300,12.800,12.900,73.429
