"","SI_2_2.1","SI_2_2.2","SI_2_2.3","SI_2_2.4","SI_2_2.5","SI_2_2.6","SI_2_2.7","SI_2_2.8","SI_2_2.9","SI_2_2.10","SI_2_2.11","SI_2_2.12","SI_2_2.13"
"NÚMERO SECUENCIAL",905832,905833,905834,905835,905836,905837,3775808,905838,905839,905840,905841,905842,905843
"DESCRIPCIÓN DE LA SERIE","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. VARIACIÓN DEL TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MARGINAL","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MEDIO","INTERVENCIÓN BCE. TIPO FACILIDAD DE CRÉDITO","INTERVENCIÓN BCE. TIPO FACILIDAD DE DEPÓSITO","ECONOMIA MUNDIAL. TIPO DE INTERÉS DÍA A DÍA. MERCADOS UEM. INTERBANCARIO. ESTER. BCE. ","MERCADOS MONETARIOS. TIPO EONIA","MERCADOS MONETARIOS. EURIBOR 1 MES","MERCADOS MONETARIOS. EURIBOR 3 MESES","MERCADOS MONETARIOS. EURIBOR 6 MESES","MERCADOS MONETARIOS. EURIBOR 12 MESES","FUTUROS EURIBOR 3 MESES. PRIMER VENCIMIENTO"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"14 DIC2000","_","_","_","_",5.750,3.750,"_",4.790,4.971,4.953,4.928,4.886,95.055
"15 DIC2000","_","_","_","_",5.750,3.750,"_",4.780,4.965,4.949,4.924,4.876,95.050
"18 DIC2000","_","_","_","_",5.750,3.750,"_",4.790,4.940,4.933,4.906,4.851,95.065
"19 DIC2000",4.750,0.000,4.800,4.860,5.750,3.750,"_",4.780,4.929,4.916,4.893,4.833,95.175
"20 DIC2000","_","_","_","_",5.750,3.750,"_",4.740,4.913,4.905,4.873,4.802,95.215
"21 DIC2000","_","_","_","_",5.750,3.750,"_",4.780,4.905,4.892,4.851,4.767,95.215
"22 DIC2000",4.750,0.000,4.790,4.840,5.750,3.750,"_",4.850,4.898,4.879,4.845,4.765,95.230
"25 DIC2000","_","_","_","_","_","_","_","_","_","_","_","_","_"
"26 DIC2000","_","_","_","_",5.750,3.750,"_","_","_","_","_","_","_"
"27 DIC2000","_","_","_","_",5.750,3.750,"_",4.860,4.896,4.880,4.841,4.755,95.235
"28 DIC2000","_","_","_","_",5.750,3.750,"_",4.880,4.859,4.859,4.834,4.750,95.230
"29 DIC2000","_","_","_","_",5.750,3.750,"_",5.160,4.857,4.855,4.833,4.749,95.270
"01 ENE2001","_","_","_","_","_","_","_","_","_","_","_","_","_"
"02 ENE2001",4.750,0.000,4.760,4.780,5.750,3.750,"_",4.830,4.851,4.844,4.788,4.692,95.380
"03 ENE2001","_","_","_","_",5.750,3.750,"_",4.820,4.835,4.806,4.725,4.619,95.345
"04 ENE2001","_","_","_","_",5.750,3.750,"_",4.810,4.789,4.741,4.631,4.526,95.445
"05 ENE2001","_","_","_","_",5.750,3.750,"_",4.780,4.766,4.701,4.584,4.458,95.535
"08 ENE2001","_","_","_","_",5.750,3.750,"_",4.770,4.762,4.687,4.576,4.451,95.515
"09 ENE2001",4.750,0.000,4.750,4.750,5.750,3.750,"_",4.780,4.778,4.711,4.610,4.493,95.445
"10 ENE2001","_","_","_","_",5.750,3.750,"_",4.810,4.812,4.775,4.686,4.577,95.380
"11 ENE2001","_","_","_","_",5.750,3.750,"_",4.820,4.824,4.797,4.704,4.602,95.400
"12 ENE2001","_","_","_","_",5.750,3.750,"_",4.810,4.827,4.800,4.711,4.598,95.350
"15 ENE2001","_","_","_","_",5.750,3.750,"_",4.810,4.832,4.815,4.727,4.643,95.355
"16 ENE2001",4.750,0.000,4.750,4.770,5.750,3.750,"_",4.800,4.823,4.801,4.700,4.588,95.365
"17 ENE2001","_","_","_","_",5.750,3.750,"_",4.780,4.812,4.795,4.708,4.606,95.355
"18 ENE2001","_","_","_","_",5.750,3.750,"_",4.770,4.797,4.778,4.687,4.563,95.395
"19 ENE2001","_","_","_","_",5.750,3.750,"_",4.720,4.796,4.763,4.658,4.539,95.420
"22 ENE2001","_","_","_","_",5.750,3.750,"_",4.610,4.789,4.757,4.649,4.541,95.400
"23 ENE2001",4.750,0.000,4.750,4.760,5.750,3.750,"_",4.190,4.788,4.756,4.648,4.543,95.425
"24 ENE2001","_","_","_","_",5.750,3.750,"_",4.770,4.796,4.767,4.671,4.586,95.355
"25 ENE2001","_","_","_","_",5.750,3.750,"_",4.780,4.804,4.768,4.692,4.614,95.325
"26 ENE2001","_","_","_","_",5.750,3.750,"_",4.780,4.816,4.784,4.694,4.615,95.340
"29 ENE2001","_","_","_","_",5.750,3.750,"_",4.790,4.812,4.785,4.693,4.620,95.355
"30 ENE2001",4.750,0.000,4.760,4.770,5.750,3.750,"_",4.780,4.810,4.781,4.686,4.613,95.405
"31 ENE2001","_","_","_","_",5.750,3.750,"_",4.820,4.789,4.744,4.628,4.533,95.430
"01 FEB2001","_","_","_","_",5.750,3.750,"_",4.770,4.776,4.714,4.606,4.505,95.385
"02 FEB2001","_","_","_","_",5.750,3.750,"_",4.770,4.776,4.724,4.641,4.544,95.350
"05 FEB2001","_","_","_","_",5.750,3.750,"_",4.770,4.773,4.728,4.637,4.546,95.375
"06 FEB2001",4.750,0.000,4.750,4.750,5.750,3.750,"_",4.760,4.774,4.725,4.637,4.544,95.355
"07 FEB2001","_","_","_","_",5.750,3.750,"_",4.760,4.774,4.727,4.644,4.551,95.360
"08 FEB2001","_","_","_","_",5.750,3.750,"_",4.760,4.776,4.731,4.645,4.554,95.335
"09 FEB2001","_","_","_","_",5.750,3.750,"_",4.760,4.775,4.734,4.658,4.591,95.355
"12 FEB2001","_","_","_","_",5.750,3.750,"_",4.750,4.774,4.734,4.644,4.564,95.345
"13 FEB2001",4.750,0.000,4.750,4.750,5.750,3.750,"_",4.770,4.773,4.733,4.645,4.565,95.355
"14 FEB2001","_","_","_","_",5.750,3.750,"_",4.870,4.796,4.743,4.654,4.575,95.345
"15 FEB2001","_","_","_","_",5.750,3.750,"_",4.900,4.800,4.747,4.666,4.608,95.305
"16 FEB2001","_","_","_","_",5.750,3.750,"_",5.010,4.794,4.752,4.675,4.618,95.320
"19 FEB2001","_","_","_","_",5.750,3.750,"_",5.450,4.811,4.759,4.674,4.613,95.325
"20 FEB2001",4.750,0.000,4.780,4.830,5.750,3.750,"_",5.580,4.847,4.779,4.686,4.626,95.295
"21 FEB2001","_","_","_","_",5.750,3.750,"_",5.720,4.852,4.789,4.700,4.644,95.280
"22 FEB2001","_","_","_","_",5.750,3.750,"_",5.700,4.821,4.798,4.724,4.683,95.255
"23 FEB2001",4.750,0.000,4.780,4.790,5.750,3.750,"_",5.080,4.820,4.807,4.735,4.691,95.255
"26 FEB2001","_","_","_","_",5.750,3.750,"_",4.830,4.836,4.811,4.712,4.649,95.260
"27 FEB2001","_","_","_","_",5.750,3.750,"_",4.860,4.836,4.810,4.706,4.616,95.295
"28 FEB2001","_","_","_","_",5.750,3.750,"_",4.990,4.808,4.771,4.639,4.539,95.280
"01 MAR2001","_","_","_","_",5.750,3.750,"_",4.810,4.806,4.756,4.629,4.532,95.285
"02 MAR2001","_","_","_","_",5.750,3.750,"_",4.810,4.805,4.761,4.651,4.563,95.290
"05 MAR2001","_","_","_","_",5.750,3.750,"_",4.800,4.807,4.761,4.659,4.585,95.265
"06 MAR2001",4.750,0.000,4.760,4.770,5.750,3.750,"_",4.810,4.811,4.771,4.670,4.609,95.265
"07 MAR2001","_","_","_","_",5.750,3.750,"_",4.830,4.816,4.776,4.663,4.580,95.265
"08 MAR2001","_","_","_","_",5.750,3.750,"_",4.850,4.824,4.778,4.661,4.569,95.260
"09 MAR2001","_","_","_","_",5.750,3.750,"_",4.850,4.833,4.782,4.662,4.567,95.255
"12 MAR2001","_","_","_","_",5.750,3.750,"_",4.830,4.833,4.784,4.668,4.576,95.250
"13 MAR2001",4.750,0.000,4.770,4.780,5.750,3.750,"_",4.810,4.823,4.783,4.661,4.553,95.240
"14 MAR2001","_","_","_","_",5.750,3.750,"_",4.790,4.815,4.784,4.671,4.568,95.265
"15 MAR2001","_","_","_","_",5.750,3.750,"_",4.780,4.806,4.767,4.626,4.511,95.250
"16 MAR2001","_","_","_","_",5.750,3.750,"_",4.780,4.815,4.769,4.620,4.495,95.245
"19 MAR2001","_","_","_","_",5.750,3.750,"_",4.790,4.816,4.769,4.616,4.487,95.230
"20 MAR2001",4.750,0.000,4.770,4.780,5.750,3.750,"_",4.820,4.819,4.766,4.614,4.483,95.595
"21 MAR2001","_","_","_","_",5.750,3.750,"_",4.830,4.818,4.753,4.590,4.447,95.675
"22 MAR2001","_","_","_","_",5.750,3.750,"_",4.650,4.766,4.649,4.494,4.348,95.760
"23 MAR2001","_","_","_","_",5.750,3.750,"_",4.440,4.677,4.574,4.436,4.317,95.750
"26 MAR2001","_","_","_","_",5.750,3.750,"_",4.760,4.676,4.566,4.428,4.315,95.770
"27 MAR2001",4.750,0.000,4.750,4.750,5.750,3.750,"_",4.760,4.670,4.560,4.410,4.301,95.770
"28 MAR2001","_","_","_","_",5.750,3.750,"_",4.770,4.674,4.566,4.426,4.329,95.750
"29 MAR2001","_","_","_","_",5.750,3.750,"_",4.770,4.666,4.554,4.413,4.307,95.750
"30 MAR2001","_","_","_","_",5.750,3.750,"_",4.850,4.698,4.561,4.424,4.322,95.735
"02 ABR2001","_","_","_","_",5.750,3.750,"_",4.780,4.722,4.571,4.431,4.314,95.715
"03 ABR2001",4.750,0.000,4.750,4.750,5.750,3.750,"_",4.770,4.730,4.586,4.454,4.348,95.720
"04 ABR2001","_","_","_","_",5.750,3.750,"_",4.770,4.705,4.572,4.419,4.304,95.690
"05 ABR2001","_","_","_","_",5.750,3.750,"_",4.760,4.700,4.573,4.441,4.339,95.690
"06 ABR2001","_","_","_","_",5.750,3.750,"_",4.760,4.696,4.574,4.451,4.351,95.715
"09 ABR2001","_","_","_","_",5.750,3.750,"_",4.740,4.689,4.559,4.412,4.297,95.720
"10 ABR2001",4.750,0.000,4.750,4.750,5.750,3.750,"_",4.840,4.669,4.554,4.404,4.291,95.695
"11 ABR2001","_","_","_","_",5.750,3.750,"_","_",4.729,4.583,4.436,4.337,95.545
"12 ABR2001","_","_","_","_",5.750,3.750,"_",5.730,4.883,4.742,4.613,4.536,95.480
"13 ABR2001","_","_","_","_","_","_","_","_","_","_","_","_","_"
"16 ABR2001","_","_","_","_",5.750,3.750,"_","_","_","_","_","_","_"
"17 ABR2001","_","_","_","_",5.750,3.750,"_",5.750,4.887,4.765,4.643,4.578,95.440
"18 ABR2001",4.750,0.000,4.860,4.910,5.750,3.750,"_",5.560,4.899,4.779,4.680,4.626,95.480
"19 ABR2001","_","_","_","_",5.750,3.750,"_",5.430,4.789,4.677,4.556,4.479,95.440
"20 ABR2001","_","_","_","_",5.750,3.750,"_",5.500,4.817,4.765,4.653,4.591,95.445
"23 ABR2001","_","_","_","_",5.750,3.750,"_",5.230,4.811,4.754,4.647,4.579,95.415
"24 ABR2001",4.750,0.000,4.780,4.800,5.750,3.750,"_",4.790,4.813,4.773,4.706,4.642,95.350
"25 ABR2001","_","_","_","_",5.750,3.750,"_",4.800,4.820,4.780,4.707,4.639,95.360
"26 ABR2001","_","_","_","_",5.750,3.750,"_",4.810,4.820,4.779,4.697,4.620,95.395
"27 ABR2001",4.750,0.000,4.770,4.780,5.750,3.750,"_",4.810,4.817,4.770,4.671,4.577,95.345
"30 ABR2001","_","_","_","_",5.750,3.750,"_",4.930,4.822,4.802,4.741,4.692,95.285
"01 MAY2001","_","_","_","_","_","_","_","_","_","_","_","_",95.280
"02 MAY2001","_","_","_","_",5.750,3.750,"_",4.830,4.845,4.817,4.764,4.728,95.280
"03 MAY2001","_","_","_","_",5.750,3.750,"_",4.820,4.843,4.820,4.768,4.729,95.290
"04 MAY2001",4.750,0.000,4.780,4.780,5.750,3.750,"_",4.810,4.831,4.814,4.743,4.687,95.305
"07 MAY2001","_","_","_","_",5.750,3.750,"_",4.810,4.829,4.804,4.727,4.665,95.320
"08 MAY2001","_","_","_","_",5.750,3.750,"_",4.810,4.822,4.801,4.708,4.636,95.315
"09 MAY2001","_","_","_","_",5.750,3.750,"_",4.800,4.816,4.793,4.701,4.631,95.360
"10 MAY2001","_","_","_","_",5.750,3.750,"_",4.750,4.807,4.766,4.657,4.576,95.535
"11 MAY2001","_","_","_","_",5.500,3.500,"_",4.580,4.596,4.563,4.468,4.391,95.530
"14 MAY2001",4.500,-0.250,4.540,4.560,5.500,3.500,"_",4.570,4.594,4.572,4.501,4.446,95.520
"15 MAY2001","_","_","_","_",5.500,3.500,"_",4.570,4.593,4.572,4.490,4.433,95.515
"16 MAY2001","_","_","_","_",5.500,3.500,"_",4.560,4.592,4.567,4.471,4.424,95.530
"17 MAY2001","_","_","_","_",5.500,3.500,"_",4.560,4.589,4.564,4.477,4.442,95.525
"18 MAY2001","_","_","_","_",5.500,3.500,"_",4.540,4.586,4.557,4.471,4.440,95.515
"21 MAY2001","_","_","_","_",5.500,3.500,"_",4.530,4.581,4.557,4.496,4.491,95.520
"22 MAY2001",4.500,0.000,4.530,4.540,5.500,3.500,"_",4.490,4.580,4.555,4.474,4.458,95.510
"23 MAY2001","_","_","_","_",5.500,3.500,"_",4.860,4.583,4.563,4.502,4.505,95.505
"24 MAY2001","_","_","_","_",5.500,3.500,"_",4.590,4.586,4.559,4.493,4.485,95.510
"25 MAY2001","_","_","_","_",5.500,3.500,"_",4.590,4.587,4.564,4.490,4.479,95.500
"28 MAY2001","_","_","_","_",5.500,3.500,"_",4.580,4.587,4.564,4.488,4.475,95.520
"29 MAY2001",4.500,0.000,4.550,4.550,5.500,3.500,"_",4.570,4.589,4.560,4.477,4.456,95.520
"30 MAY2001","_","_","_","_",5.500,3.500,"_",4.560,4.584,4.544,4.459,4.439,95.540
"31 MAY2001","_","_","_","_",5.500,3.500,"_",4.600,4.574,4.531,4.446,4.434,95.530
"01 JUN2001","_","_","_","_",5.500,3.500,"_",4.540,4.562,4.513,4.416,4.396,95.570
"04 JUN2001","_","_","_","_",5.500,3.500,"_",4.530,4.555,4.496,4.388,4.359,95.580
"05 JUN2001",4.500,0.000,4.510,4.530,5.500,3.500,"_",4.530,4.550,4.486,4.379,4.349,95.595
"06 JUN2001","_","_","_","_",5.500,3.500,"_",4.520,4.514,4.449,4.343,4.304,95.610
"07 JUN2001","_","_","_","_",5.500,3.500,"_",4.520,4.488,4.433,4.334,4.307,95.565
"08 JUN2001","_","_","_","_",5.500,3.500,"_",4.530,4.530,4.451,4.357,4.321,95.560
"11 JUN2001","_","_","_","_",5.500,3.500,"_",4.530,4.532,4.451,4.348,4.315,95.560
"12 JUN2001",4.500,0.000,4.510,4.520,5.500,3.500,"_",4.530,4.529,4.449,4.349,4.318,95.545
"13 JUN2001","_","_","_","_",5.500,3.500,"_",4.530,4.541,4.470,4.400,4.385,95.515
"14 JUN2001","_","_","_","_",5.500,3.500,"_",4.520,4.541,4.474,4.397,4.379,95.535
"15 JUN2001","_","_","_","_",5.500,3.500,"_",4.520,4.541,4.465,4.375,4.347,95.535
"18 JUN2001","_","_","_","_",5.500,3.500,"_",4.530,4.541,4.464,4.366,4.334,95.535
"19 JUN2001",4.500,0.000,4.510,4.520,5.500,3.500,"_",4.520,4.536,4.462,4.360,4.326,95.795
"20 JUN2001","_","_","_","_",5.500,3.500,"_",4.520,4.529,4.452,4.342,4.302,95.830
"21 JUN2001","_","_","_","_",5.500,3.500,"_",4.420,4.511,4.433,4.318,4.269,95.825
"22 JUN2001","_","_","_","_",5.500,3.500,"_",4.610,4.525,4.433,4.315,4.262,95.850
"25 JUN2001","_","_","_","_",5.500,3.500,"_",4.550,4.525,4.432,4.307,4.245,95.865
"26 JUN2001",4.500,0.000,4.540,4.550,5.500,3.500,"_",4.550,4.523,4.426,4.302,4.231,95.835
"27 JUN2001","_","_","_","_",5.500,3.500,"_",4.560,4.526,4.435,4.326,4.260,95.835
"28 JUN2001","_","_","_","_",5.500,3.500,"_",4.550,4.508,4.410,4.316,4.236,95.825
"29 JUN2001","_","_","_","_",5.500,3.500,"_",4.720,4.523,4.441,4.373,4.317,95.755
"02 JUL2001","_","_","_","_",5.500,3.500,"_",4.540,4.517,4.435,4.361,4.305,95.795
"03 JUL2001",4.500,0.000,4.500,4.510,5.500,3.500,"_",4.530,4.502,4.416,4.339,4.284,95.725
"04 JUL2001","_","_","_","_",5.500,3.500,"_",4.530,4.529,4.448,4.405,4.370,95.730
"05 JUL2001","_","_","_","_",5.500,3.500,"_",4.530,4.516,4.446,4.391,4.349,95.680
"06 JUL2001","_","_","_","_",5.500,3.500,"_",4.530,4.536,4.471,4.423,4.375,95.705
"09 JUL2001","_","_","_","_",5.500,3.500,"_",4.520,4.541,4.482,4.415,4.349,95.690
"10 JUL2001",4.500,0.000,4.510,4.520,5.500,3.500,"_",4.520,4.538,4.499,4.430,4.367,95.700
"11 JUL2001","_","_","_","_",5.500,3.500,"_",4.520,4.533,4.487,4.402,4.317,95.735
"12 JUL2001","_","_","_","_",5.500,3.500,"_",4.520,4.534,4.487,4.409,4.337,95.720
"13 JUL2001","_","_","_","_",5.500,3.500,"_",4.520,4.533,4.484,4.401,4.325,95.705
"16 JUL2001","_","_","_","_",5.500,3.500,"_",4.520,4.536,4.486,4.404,4.327,95.720
"17 JUL2001",4.500,0.000,4.510,4.520,5.500,3.500,"_",4.510,4.534,4.483,4.399,4.320,95.710
"18 JUL2001","_","_","_","_",5.500,3.500,"_",4.510,4.534,4.483,4.400,4.321,95.735
"19 JUL2001","_","_","_","_",5.500,3.500,"_",4.410,4.505,4.466,4.368,4.283,95.690
"20 JUL2001","_","_","_","_",5.500,3.500,"_",4.330,4.518,4.475,4.389,4.309,95.700
"23 JUL2001","_","_","_","_",5.500,3.500,"_",4.400,4.519,4.474,4.384,4.294,95.715
"24 JUL2001",4.500,0.000,4.510,4.520,5.500,3.500,"_",4.520,4.523,4.469,4.377,4.283,95.715
"25 JUL2001","_","_","_","_",5.500,3.500,"_",4.520,4.523,4.466,4.383,4.291,95.710
"26 JUL2001","_","_","_","_",5.500,3.500,"_",4.520,4.523,4.464,4.383,4.299,95.710
"27 JUL2001","_","_","_","_",5.500,3.500,"_",4.520,4.519,4.457,4.370,4.268,95.740
"30 JUL2001","_","_","_","_",5.500,3.500,"_",4.520,4.516,4.455,4.352,4.241,95.735
"31 JUL2001",4.500,0.000,4.500,4.510,5.500,3.500,"_",4.580,4.514,4.444,4.336,4.226,95.745
"01 AGO2001","_","_","_","_",5.500,3.500,"_",4.510,4.505,4.429,4.323,4.215,95.760
"02 AGO2001","_","_","_","_",5.500,3.500,"_",4.500,4.489,4.415,4.309,4.207,95.735
"03 AGO2001","_","_","_","_",5.500,3.500,"_",4.520,4.529,4.433,4.336,4.229,95.770
"06 AGO2001","_","_","_","_",5.500,3.500,"_",4.520,4.525,4.425,4.307,4.189,95.765
"07 AGO2001",4.500,0.000,4.500,4.510,5.500,3.500,"_",4.520,4.523,4.425,4.301,4.188,95.755
"08 AGO2001","_","_","_","_",5.500,3.500,"_",4.520,4.524,4.431,4.312,4.210,95.740
"09 AGO2001","_","_","_","_",5.500,3.500,"_",4.520,4.518,4.410,4.280,4.156,95.805
"10 AGO2001","_","_","_","_",5.500,3.500,"_",4.520,4.507,4.382,4.248,4.123,95.855
"13 AGO2001","_","_","_","_",5.500,3.500,"_",4.510,4.499,4.362,4.218,4.091,95.845
"14 AGO2001",4.500,0.000,4.500,4.510,5.500,3.500,"_",4.510,4.497,4.360,4.222,4.099,95.830
"15 AGO2001","_","_","_","_",5.500,3.500,"_",4.510,4.495,4.357,4.213,4.086,95.830
"16 AGO2001","_","_","_","_",5.500,3.500,"_",4.510,4.487,4.346,4.200,4.077,95.820
"17 AGO2001","_","_","_","_",5.500,3.500,"_",4.510,4.484,4.345,4.203,4.078,95.840
"20 AGO2001","_","_","_","_",5.500,3.500,"_",4.510,4.475,4.335,4.180,4.047,95.845
"21 AGO2001",4.500,0.000,4.500,4.510,5.500,3.500,"_",4.510,4.466,4.325,4.176,4.046,95.840
"22 AGO2001","_","_","_","_",5.500,3.500,"_",4.440,4.433,4.308,4.165,4.043,95.830
"23 AGO2001","_","_","_","_",5.500,3.500,"_",4.500,4.426,4.313,4.177,4.070,95.830
"24 AGO2001","_","_","_","_",5.500,3.500,"_",4.510,4.421,4.311,4.188,4.087,95.800
"27 AGO2001","_","_","_","_",5.500,3.500,"_",4.490,4.422,4.315,4.198,4.105,95.800
"28 AGO2001",4.500,0.000,4.500,4.500,5.500,3.500,"_",4.490,4.419,4.305,4.184,4.079,95.835
"29 AGO2001","_","_","_","_",5.500,3.500,"_",4.420,4.360,4.270,4.150,4.030,95.810
"30 AGO2001","_","_","_","_",5.500,3.500,"_",4.370,4.368,4.276,4.160,4.043,95.820
"31 AGO2001","_","_","_","_",5.250,3.250,"_",4.380,4.315,4.253,4.123,3.975,95.805
"03 SEP2001","_","_","_","_",5.250,3.250,"_",4.300,4.314,4.254,4.130,3.976,95.785
"04 SEP2001",4.250,-0.250,4.270,4.280,5.250,3.250,"_",4.300,4.314,4.258,4.159,4.005,95.760
"05 SEP2001","_","_","_","_",5.250,3.250,"_",4.290,4.316,4.276,4.187,4.078,95.745
"06 SEP2001","_","_","_","_",5.250,3.250,"_",4.290,4.314,4.279,4.185,4.089,95.765
"07 SEP2001","_","_","_","_",5.250,3.250,"_",4.280,4.308,4.264,4.151,4.023,95.790
"10 SEP2001","_","_","_","_",5.250,3.250,"_",4.280,4.301,4.242,4.114,3.966,95.790
"11 SEP2001",4.250,0.000,4.260,4.270,5.250,3.250,"_",4.290,4.301,4.242,4.127,3.997,96.250
"12 SEP2001","_","_","_","_",5.250,3.250,"_",4.420,4.291,4.176,4.048,3.883,96.270
"13 SEP2001","_","_","_","_",5.250,3.250,"_",4.280,4.297,4.165,4.034,3.886,96.280
"14 SEP2001","_","_","_","_",5.250,3.250,"_",4.230,4.286,4.160,3.991,3.828,96.350
"17 SEP2001","_","_","_","_",5.250,3.250,"_",4.230,4.226,4.137,3.973,3.799,96.345
"18 SEP2001",3.750,-0.500,3.760,3.770,4.750,2.750,"_",3.760,3.808,3.779,3.707,3.590,96.505
"19 SEP2001","_","_","_","_",4.750,2.750,"_",3.560,3.754,3.760,3.686,3.597,96.565
"20 SEP2001","_","_","_","_",4.750,2.750,"_",3.130,3.758,3.701,3.618,3.567,96.545
"21 SEP2001","_","_","_","_",4.750,2.750,"_",3.120,3.750,3.690,3.594,3.552,96.595
"24 SEP2001","_","_","_","_",4.750,2.750,"_",3.780,3.749,3.661,3.583,3.545,96.590
"25 SEP2001",3.750,0.000,3.760,3.770,4.750,2.750,"_",3.790,3.739,3.654,3.571,3.518,96.615
"26 SEP2001","_","_","_","_",4.750,2.750,"_",3.790,3.735,3.648,3.559,3.509,96.610
"27 SEP2001","_","_","_","_",4.750,2.750,"_",3.780,3.728,3.655,3.552,3.495,96.615
"28 SEP2001","_","_","_","_",4.750,2.750,"_",3.830,3.727,3.656,3.546,3.496,96.585
"01 OCT2001","_","_","_","_",4.750,2.750,"_",3.770,3.727,3.656,3.546,3.493,96.600
"02 OCT2001",3.750,0.000,3.750,3.760,4.750,2.750,"_",3.760,3.722,3.651,3.537,3.477,96.410
"03 OCT2001","_","_","_","_",4.750,2.750,"_",3.750,3.710,3.622,3.491,3.404,96.465
"04 OCT2001","_","_","_","_",4.750,2.750,"_",3.740,3.692,3.598,3.468,3.392,96.470
"05 OCT2001","_","_","_","_",4.750,2.750,"_",3.720,3.640,3.558,3.430,3.345,96.460
"08 OCT2001","_","_","_","_",4.750,2.750,"_",3.720,3.669,3.557,3.429,3.347,96.435
"09 OCT2001",3.750,0.000,3.750,3.750,4.750,2.750,"_",3.830,3.688,3.582,3.458,3.372,96.395
"10 OCT2001","_","_","_","_",4.750,2.750,"_",3.960,3.789,3.624,3.491,3.410,96.390
"11 OCT2001","_","_","_","_",4.750,2.750,"_",3.980,3.742,3.614,3.491,3.417,96.368
"12 OCT2001","_","_","_","_",4.750,2.750,"_",3.980,3.783,3.656,3.525,3.466,96.370
"15 OCT2001","_","_","_","_",4.750,2.750,"_",3.870,3.776,3.636,3.501,3.427,96.525
"16 OCT2001",3.750,0.000,3.780,3.790,4.750,2.750,"_",3.910,3.769,3.626,3.485,3.405,96.530
"17 OCT2001","_","_","_","_",4.750,2.750,"_",4.330,3.821,3.645,3.498,3.408,96.510
"18 OCT2001","_","_","_","_",4.750,2.750,"_",4.400,3.782,3.633,3.483,3.399,96.510
"19 OCT2001","_","_","_","_",4.750,2.750,"_",4.600,3.761,3.607,3.451,3.353,96.545
"22 OCT2001","_","_","_","_",4.750,2.750,"_",4.690,3.708,3.580,3.425,3.333,96.558
"23 OCT2001",3.750,0.000,3.750,3.760,4.750,2.750,"_",4.740,3.698,3.579,3.428,3.340,96.535
"24 OCT2001","_","_","_","_",4.750,2.750,"_",3.760,3.684,3.575,3.437,3.343,96.550
"25 OCT2001","_","_","_","_",4.750,2.750,"_",3.740,3.651,3.563,3.425,3.326,96.545
"26 OCT2001","_","_","_","_",4.750,2.750,"_",3.770,3.709,3.579,3.432,3.324,96.535
"29 OCT2001","_","_","_","_",4.750,2.750,"_",3.760,3.701,3.576,3.414,3.282,96.570
"30 OCT2001",3.750,0.000,3.750,3.760,4.750,2.750,"_",3.760,3.671,3.558,3.372,3.232,96.600
"31 OCT2001","_","_","_","_",4.750,2.750,"_",3.840,3.642,3.522,3.348,3.201,96.618
"01 NOV2001","_","_","_","_",4.750,2.750,"_",3.770,3.623,3.512,3.342,3.193,96.605
"02 NOV2001","_","_","_","_",4.750,2.750,"_",3.760,3.616,3.499,3.330,3.179,96.605
"05 NOV2001","_","_","_","_",4.750,2.750,"_",3.760,3.613,3.491,3.326,3.165,96.623
"06 NOV2001",3.750,0.000,3.750,3.750,4.750,2.750,"_",3.850,3.621,3.467,3.287,3.111,96.660
"07 NOV2001","_","_","_","_",4.750,2.750,"_",3.880,3.542,3.371,3.210,3.043,96.710
"08 NOV2001","_","_","_","_",4.750,2.750,"_",3.730,3.438,3.324,3.159,2.994,96.743
"09 NOV2001","_","_","_","_",4.250,2.250,"_",3.860,3.423,3.342,3.165,3.020,96.710
"12 NOV2001","_","_","_","_",4.250,2.250,"_",3.830,3.419,3.350,3.185,3.056,96.705
"13 NOV2001",3.250,-0.500,3.370,3.400,4.250,2.250,"_",3.680,3.422,3.351,3.195,3.063,96.695
"14 NOV2001","_","_","_","_",4.250,2.250,"_",3.370,3.367,3.338,3.201,3.105,96.680
"15 NOV2001","_","_","_","_",4.250,2.250,"_",3.300,3.357,3.359,3.249,3.214,96.640
"16 NOV2001","_","_","_","_",4.250,2.250,"_",3.290,3.356,3.383,3.316,3.328,96.600
"19 NOV2001","_","_","_","_",4.250,2.250,"_",3.250,3.327,3.373,3.296,3.315,96.685
"20 NOV2001",3.250,0.000,3.260,3.270,4.250,2.250,"_",3.250,3.310,3.349,3.253,3.238,96.680
"21 NOV2001","_","_","_","_",4.250,2.250,"_",3.350,3.349,3.363,3.278,3.265,96.670
"22 NOV2001","_","_","_","_",4.250,2.250,"_",3.400,3.358,3.380,3.306,3.343,96.660
"23 NOV2001","_","_","_","_",4.250,2.250,"_",3.280,3.345,3.375,3.297,3.318,96.665
