Date,Last,Open,Max,Min,Vol_K,Var_%
2015-12-10,495.38,488.88,497.88,485.63,,1.17
2015-12-09,489.63,481.63,491.13,481.5,,1.71
2015-12-08,481.38,481.5,483.63,476.63,,-0.31
2015-12-07,482.88,489.38,492.88,482.13,,-0.36
2015-12-04,484.63,479.25,484.88,478.38,,1.31
2015-12-03,478.38,466.88,483.88,466.13,,2.41
2015-12-02,467.13,471.25,473.38,465.63,,-0.9
2015-12-01,471.38,474.63,480.13,470.88,,-0.89
2015-11-30,475.63,476.63,480.38,475.13,,-0.7
2015-11-27,479.0,487.63,487.63,478.13,,-1.77
2015-11-25,487.63,488.38,492.38,487.38,,-0.1
2015-11-24,488.13,496.75,497.13,487.88,,-1.86
2015-11-23,497.38,487.25,499.63,485.88,,1.69
2015-11-20,489.13,489.38,494.88,486.38,,-0.25
2015-11-19,490.38,483.0,492.75,481.63,,1.45
2015-11-18,483.38,487.38,490.25,480.63,,-0.9
2015-11-17,487.75,493.5,494.0,484.63,,-1.24
2015-11-16,493.88,494.88,498.0,490.5,,-0.45
2015-11-13,496.13,496.5,499.75,491.63,,-0.3
2015-11-12,497.63,496.0,500.5,492.38,,0.5
2015-11-11,495.13,491.88,498.0,490.38,,0.76
2015-11-10,491.38,502.38,503.75,488.13,,-2.04
2015-11-09,501.63,520.38,521.25,501.38,,-4.06
2015-11-06,522.88,524.75,526.0,517.88,,-0.57
2015-11-05,525.88,524.5,529.0,520.38,,-0.09
2015-11-04,526.38,516.13,530.75,508.38,,1.94
2015-11-03,516.38,507.63,516.63,506.0,,1.67
2015-11-02,507.88,521.38,522.75,506.88,,-2.73
2015-10-30,522.13,515.25,523.75,515.13,,1.31
2015-10-29,515.38,505.75,517.25,505.13,,1.88
2015-10-28,505.88,507.63,508.75,500.13,,-0.64
2015-10-27,509.13,509.88,518.0,506.63,,-0.05
2015-10-26,509.38,493.63,512.0,493.63,,3.82
2015-10-23,490.63,490.5,494.25,484.88,,-0.05
2015-10-22,490.88,494.75,500.5,490.63,,-0.76
2015-10-21,494.63,491.88,497.5,490.38,,0.82
2015-10-20,490.63,486.38,491.63,483.63,,1.08
2015-10-19,485.38,491.38,493.5,484.38,,-1.42
2015-10-16,492.38,502.63,505.88,489.88,,-1.94
2015-10-15,502.13,507.25,512.75,502.13,,-1.23
2015-10-14,508.38,518.38,519.75,507.63,,-2.02
2015-10-13,518.88,507.0,521.75,505.13,,2.37
2015-10-12,506.88,507.38,510.63,503.38,,-0.25
